site_id,Day,Month,Year,survey_date,surveyor1,pit_tag_id,pit_tag_status,frog_sex,frog_state,frog_location,total_weight,bag_weight,frog_weight,frog_svl,swab_id,swab_id_full,swabber_name,frog_comments,ZE,lifestage,gosner_stage
14309,17,6,2014,6/17/14,Kauffman,1.18001E+11,Y,M,Healthy,inlet,12,2,10,42,1825,DESO1825,Kauffman,NA,0,Adult,NA
14309,18,6,2014,6/18/14,Knapp,1.18001E+11,Y,F,Healthy,fringing_habitat,9,2,7,42,1896,DESO1896,Vredenburg,NA,25.6,Adult,NA
14309,18,6,2014,6/18/14,Knapp,1.18001E+11,Y,M,Healthy,outlet,9,2,7,42,1757,DESO1757,Knapp,NA,8.56,Adult,NA
14309,18,6,2014,6/18/14,Knapp,1.18001E+11,Y,M,Healthy,inlet,9,2,7,42,1781,DESO1781,Knapp,NA,0,Adult,NA
52643,19,6,2014,6/19/14,Kauffman,1.21019E+11,Y,F,Healthy,in_lake,10,2,8,42,1958,DESO1958,Kauffman,Translocated to Lake Lucille on 6/20/14.,46.96,Adult,NA
52644,19,6,2014,6/19/14,Kauffman,1.18001E+11,Y,M,Healthy,in_lake,11,2,9,42,1963,DESO1963,Kauffman,NA,0,Adult,NA
14310,19,6,2014,6/19/14,Kauffman,1.18001E+11,Y,F,Healthy,in_lake,11,2,9,42,1968,DESO1968,Ellison,Translocated to Lake Lucille on 6/20/14.,2.28,Adult,NA
14309,17,7,2014,7/17/14,Knapp,9.82E+14,Y,M,Healthy,inlet,12,2,10,42,2011,DESO2011,Atkinson,NA,0,Adult,NA
14309,17,7,2014,7/17/14,Knapp,9.82E+14,Y,M,Healthy,inlet,12,2,10,42,2014,DESO2014,Atkinson,NA,0,Adult,NA
52645,18,7,2014,7/18/14,Kauffman,9.82E+14,Y,F,Healthy,outlet,12,2,10,42,2086,DESO2086,Atkinson,NA,0,Adult,NA
14221,17,7,2014,7/17/14,Kauffman,1.18001E+11,NA,M,Healthy,in_lake,11,2,9,42,2079,DESO2079,Kauffman,NA,0,Adult,NA
14221,17,7,2014,7/17/14,Kauffman,1.18001E+11,NA,M,Healthy,in_lake,10,2,8,42,2181,DESO2181,Kauffman,NA,0,Adult,NA
14221,17,7,2014,7/17/14,Kauffman,9.00043E+14,Y,M,Healthy,in_lake,11,2,9,42,2215,DESO2215,Kauffman,NA,0.1584,Adult,NA
14221,17,7,2014,7/17/14,Kauffman,1.18001E+11,NA,F,Healthy,fringing_habitat,11,2,9,42,2051,DESO2051,Kauffman,NA,0,Adult,NA
14221,18,7,2014,7/18/14,Knapp,9.82E+14,Y,M,Healthy,in_lake,11,2,9,42,2026,DESO2026,Ellison,NA,0,Adult,NA
14221,18,7,2014,7/18/14,Knapp,9.82E+14,Y,F,Healthy,in_lake,11,2,9,42,2027,DESO2027,Knapp,NA,0,Adult,NA
14221,18,7,2014,7/18/14,Knapp,9.82E+14,Y,M,Healthy,fringing_habitat,11,2,9,42,2125,DESO2125,Ellison,NA,0,Adult,NA
14221,6,8,2014,8/6/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,12,2,10,42,2348,DESO2348,Kauffman,NA,553.6,Adult,NA
14221,7,8,2014,8/7/14,Knapp,9.00043E+14,Y,M,Healthy,fringing_habitat,10,2,8,42,2324,DESO2324,Knapp,NA,244.8,Adult,NA
14309,6,8,2014,8/6/14,Knapp,9.00043E+14,Y,M,Healthy,inlet,13,2,11,42,2427,DESO2427,Atkinson,NA,172,Adult,NA
14309,9,9,2014,9/9/14,Knapp,9.82E+14,NA,M,Healthy,outlet,13,2,11,42,2457,DESO2457,Atkinson,NA,137.6,Adult,NA
14309,10,9,2014,9/10/14,Kauffman,9.00043E+14,Y,F,Healthy,fringing_habitat,11,2,9,42,2685,DESO2685,Kauffman,NA,0,Adult,NA
14307,11,9,2014,9/11/14,Ellison,9.00043E+14,Y,F,Healthy,in_lake,10,2,8,42,2494,DESO2494,Knapp,NA,16.16,Adult,NA
14221,9,9,2014,9/9/14,Kauffman,9.82E+14,Y,M,Healthy,fringing_habitat,12,2,10,42,2658,DESO2658,Kauffman,NA,0.872,Adult,NA
14221,9,9,2014,9/9/14,Kauffman,9.82E+14,NA,F,Healthy,in_lake,12,2,10,42,2638,DESO2638,Kauffman,NA,86.4,Adult,NA
14221,10,9,2014,9/10/14,Knapp,9.00043E+14,Y,M,Healthy,fringing_habitat,10,2,8,42,2446,DESO2446,Ellison,NA,0,Adult,NA
14221,11,9,2014,9/11/14,Kauffman,9.00043E+14,Y,M,Healthy,in_lake,12,2,10,42,2722,DESO2722,Atkinson,NA,41.28,Adult,NA
14221,25,7,2013,7/25/13,Kauffman,1.18001E+11,Y,M,healthy,in_lake,10.5,2,8.5,42,1406,DESO1406,Ellison,NA,0,Adult,NA
14309,22,8,2013,8/22/13,Kauffman,1.18001E+11,Y,M,healthy,inlet,10.5,2,8.5,42,1529,DESO1529,Kauffman,NA,13.92,Adult,NA
14221,23,7,2013,7/23/13,Atkinson,1.18001E+11,Y,M,healthy,in_lake,11,2,9,42,1226,DESO1226,Atkinson,NA,0,Adult,NA
14221,23,7,2013,7/23/13,Atkinson,1.21019E+11,NA,F,healthy,fringing_habitat,12.5,2,10.5,42,1214,DESO1214,Atkinson,NA,13.52,Adult,NA
14310,23,7,2013,7/23/13,Kauffman,1.21019E+11,Y,F,healthy,in_lake,10.5,2,8.5,42,1364,DESO1364,Kauffman,NA,0,Adult,NA
14309,25,7,2013,7/25/13,Knapp,1.18001E+11,Y,M,healthy,inlet,12,2,10,42,1338,DESO1338,Atkinson,NA,0,Adult,NA
14221,21,8,2013,8/21/13,Kauffman,1.21019E+11,NA,M,healthy,fringing_habitat,13,2,11,42,1508,DESO1508,Kauffman,NA,0,Adult,NA
27495,25,7,2013,7/25/13,Knapp,1.18001E+11,Y,F,healthy,inlet,9.5,2,7.5,42.1,1425,DESO1425,Knapp,Captured 100 m up inlet.,111.2,Adult,NA
14221,22,8,2013,8/22/13,Knapp,1.21019E+11,Y,M,healthy,in_lake,12,2,10,42.2,1557,DESO1557,Knapp,NA,15.68,Adult,NA
14221,10,9,2013,9/10/13,Knapp,1.18001E+11,Y,M,healthy,in_lake,9.5,2,7.5,42.3,1574,DESO1574,Ellison,NA,1.824,Adult,NA
14309,21,8,2013,8/21/13,Knapp,1.18001E+11,Y,M,healthy,inlet,11,2,9,42.5,1358,DESO1358,Knapp,NA,0,Adult,NA
14309,21,6,2013,6/21/13,Knapp,1.21019E+11,Y,M,healthy,inlet,11.5,2,9.5,42.5,1127,DESO1127,Vredenburg,NA,34,Adult,NA
